order_id,customer_id,order_date,payment_method,order_status
1,377,2023-01-01 00:00:00,gift_card,placed
2,289,2023-01-01 01:00:00,debit_card,placed
3,437,2023-01-01 02:00:00,gift_card,cancelled
4,277,2023-01-01 03:00:00,credit_card,returned
5,582,2023-01-01 04:00:00,credit_card,shipped
6,503,2023-01-01 05:00:00,debit_card,shipped
7,516,2023-01-01 06:00:00,gift_card,placed
8,350,2023-01-01 07:00:00,debit_card,cancelled
9,446,2023-01-01 08:00:00,debit_card,delivered
10,350,2023-01-01 09:00:00,gift_card,delivered
11,137,2023-01-01 10:00:00,debit_card,shipped
12,243,2023-01-01 11:00:00,credit_card,returned
13,543,2023-01-01 12:00:00,gift_card,shipped
14,40,2023-01-01 13:00:00,gift_card,placed
15,229,2023-01-01 14:00:00,gift_card,returned
16,548,2023-01-01 15:00:00,gift_card,delivered
17,223,2023-01-01 16:00:00,debit_card,cancelled
18,6,2023-01-01 17:00:00,debit_card,cancelled
19,322,2023-01-01 18:00:00,credit_card,placed
20,468,2023-01-01 19:00:00,paypal,shipped
21,75,2023-01-01 20:00:00,paypal,placed
22,4,2023-01-01 21:00:00,credit_card,cancelled
23,118,2023-01-01 22:00:00,paypal,delivered
24,504,2023-01-01 23:00:00,credit_card,cancelled
25,574,2023-01-02 00:00:00,debit_card,returned
26,441,2023-01-02 01:00:00,gift_card,cancelled
27,194,2023-01-02 02:00:00,gift_card,cancelled
28,392,2023-01-02 03:00:00,debit_card,returned
29,26,2023-01-02 04:00:00,gift_card,shipped
30,435,2023-01-02 05:00:00,gift_card,cancelled
31,173,2023-01-02 06:00:00,paypal,placed
32,300,2023-01-02 07:00:00,debit_card,cancelled
33,326,2023-01-02 08:00:00,paypal,placed
34,410,2023-01-02 09:00:00,paypal,returned
35,118,2023-01-02 10:00:00,gift_card,cancelled
36,225,2023-01-02 11:00:00,gift_card,returned
37,532,2023-01-02 12:00:00,debit_card,returned
38,113,2023-01-02 13:00:00,gift_card,shipped
39,140,2023-01-02 14:00:00,gift_card,cancelled
40,559,2023-01-02 15:00:00,debit_card,placed
41,1,2023-01-02 16:00:00,gift_card,placed
42,90,2023-01-02 17:00:00,paypal,cancelled
43,320,2023-01-02 18:00:00,debit_card,shipped
44,550,2023-01-02 19:00:00,gift_card,shipped
45,139,2023-01-02 20:00:00,credit_card,shipped
46,511,2023-01-02 21:00:00,debit_card,placed
47,259,2023-01-02 22:00:00,debit_card,returned
48,10,2023-01-02 23:00:00,credit_card,shipped
49,261,2023-01-03 00:00:00,gift_card,placed
50,172,2023-01-03 01:00:00,gift_card,placed
51,13,2023-01-03 02:00:00,debit_card,returned
52,168,2023-01-03 03:00:00,debit_card,cancelled
53,596,2023-01-03 04:00:00,gift_card,cancelled
54,321,2023-01-03 05:00:00,gift_card,shipped
55,319,2023-01-03 06:00:00,paypal,shipped
56,329,2023-01-03 07:00:00,debit_card,returned
57,550,2023-01-03 08:00:00,debit_card,shipped
58,419,2023-01-03 09:00:00,credit_card,returned
59,95,2023-01-03 10:00:00,paypal,placed
60,581,2023-01-03 11:00:00,gift_card,shipped
61,318,2023-01-03 12:00:00,paypal,placed
62,236,2023-01-03 13:00:00,gift_card,delivered
63,334,2023-01-03 14:00:00,gift_card,returned
64,376,2023-01-03 15:00:00,paypal,delivered
65,459,2023-01-03 16:00:00,debit_card,shipped
66,137,2023-01-03 17:00:00,gift_card,placed
67,588,2023-01-03 18:00:00,paypal,shipped
68,547,2023-01-03 19:00:00,credit_card,delivered
69,513,2023-01-03 20:00:00,paypal,shipped
70,296,2023-01-03 21:00:00,credit_card,cancelled
71,320,2023-01-03 22:00:00,gift_card,delivered
72,572,2023-01-03 23:00:00,paypal,shipped
73,349,2023-01-04 00:00:00,paypal,placed
74,229,2023-01-04 01:00:00,credit_card,shipped
75,270,2023-01-04 02:00:00,paypal,placed
76,291,2023-01-04 03:00:00,paypal,cancelled
77,165,2023-01-04 04:00:00,gift_card,shipped
78,5,2023-01-04 05:00:00,paypal,cancelled
79,379,2023-01-04 06:00:00,debit_card,delivered
80,78,2023-01-04 07:00:00,credit_card,placed
81,410,2023-01-04 08:00:00,paypal,delivered
82,574,2023-01-04 09:00:00,credit_card,placed
83,132,2023-01-04 10:00:00,credit_card,cancelled
84,42,2023-01-04 11:00:00,credit_card,returned
85,89,2023-01-04 12:00:00,paypal,shipped
86,402,2023-01-04 13:00:00,paypal,cancelled
87,296,2023-01-04 14:00:00,credit_card,placed
88,295,2023-01-04 15:00:00,debit_card,placed
